"""branchcode"";""branchname"";""gstinnum"";""address"";""pincode"";""regioncode"";""regiondesc"";""pannum"";""mobilenum"";""emailid"";""isactive"";""segment"";""customer_cin"";""plantdesc""",,,,
"3545;""IFB Industries Ltd","Orissa"";""21AAACI6561R1Z9"";""Jayapur Plot No: 502/165", Pahala," Near Ganapati Dh"";""752101"";""18"";""Orissa"";""AAACI6561R"";""06743297146"";""orissa_accounts@ifbglobal.com"";""X"";""1007"";""L51109WB1974PLC029637"";""Rourkela Service Stores""",
"4500;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Chennai Service Branch""",,
"4505;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Coimbatore Service Branch""",,
"4510;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Madurai Service Branch""",,
"4511;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Madurai Service Branch""",,
"4515;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Trichy Service Branch""",,
"4516;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Salem Service Branch""",,
"4520;""IFB Industries Ltd","Tamil Nadu"";""33AAACI6561R1Z4"";""Guindy Industrial Estate Ground and First Floor"," B"";""600032"";""22"";""Tamil Nadu"";""AAACI6561R"";""30288519"";""chennai_accounts@ifbglobal.com"";""X"";""1101"";""L51109WB1974PLC029637"";""Pondicherry Service Branch""",,
"4525;""IFB Industries Ltd","Karnataka"";""29AAACI6561R3ZR"";""MAHADEVAPURA POST #16/17"," VISHVEWARAIAH INDUSTRIAL"";""560048"";""10"";""Karnataka"";""AAACI6561R"";""080-32959571"";""bg_murali@ifbglobal.com"";""X"";""1103"";""L51109WB1974PLC029637"";""Bangalore Service Branch""",,
"4526;""IFB Industries Ltd","Karnataka"";""29AAACI6561R3ZR"";""MAHADEVAPURA POST #16/17"," VISHVEWARAIAH INDUSTRIAL"";""560048"";""10"";""Karnataka"";""AAACI6561R"";""080-32959571"";""bg_murali@ifbglobal.com"";""X"";""1103"";""L51109WB1974PLC029637"";""Mysore  Service Branch""",,
"4530;""IFB Industries Ltd","Karnataka"";""29AAACI6561R3ZR"";""MAHADEVAPURA POST #16/17"," VISHVEWARAIAH INDUSTRIAL"";""560048"";""10"";""Karnataka"";""AAACI6561R"";""080-32959571"";""bg_murali@ifbglobal.com"";""X"";""1103"";""L51109WB1974PLC029637"";""Mangalore Service Branch""",,
"4535;""IFB Industries Ltd","Karnataka"";""29AAACI6561R3ZR"";""MAHADEVAPURA POST #16/17"," VISHVEWARAIAH INDUSTRIAL"";""560048"";""10"";""Karnataka"";""AAACI6561R"";""080-32959571"";""bg_murali@ifbglobal.com"";""X"";""1103"";""L51109WB1974PLC029637"";""Hubli Service Branch""",,
"4536;""IFB Industries Ltd","Karnataka"";""29AAACI6561R3ZR"";""MAHADEVAPURA POST #16/17"," VISHVEWARAIAH INDUSTRIAL"";""560048"";""10"";""Karnataka"";""AAACI6561R"";""080-32959571"";""bg_murali@ifbglobal.com"";""X"";""1103"";""L51109WB1974PLC029637"";""Hubli Service Branch""",,
"4540;""IFB Industries Ltd","Telangana"";""36AAACI6561R1ZY"";""Tarbund X Roads Sathya Mansion", 1st Floor," 32&33 C"";""500009"";""37"";""Telangana"";""AAACI6561R"";"""";"""";""X"";""1111"";""L51109WB1974PLC029637"";""Telangana Service Branch""",
"4541;""IFB Industries Ltd","Telangana"";""36AAACI6561R1ZY"";""Tarbund X Roads Sathya Mansion", 1st Floor," 32&33 C"";""500009"";""37"";""Telangana"";""AAACI6561R"";"""";"""";""X"";""1111"";""L51109WB1974PLC029637"";""Telangana Service Branch""",
"4542;""IFB Industries Ltd","Telangana"";""36AAACI6561R1ZY"";""Tarbund X Roads Sathya Mansion", 1st Floor," 32&33 C"";""500009"";""37"";""Telangana"";""AAACI6561R"";"""";"""";""X"";""1111"";""L51109WB1974PLC029637"";""Telangana Service Branch""",
"4545;""IFB Industries Ltd","Vijayawada"";""37AAACI6561R1ZW"";""Near Anjaneya Restuarant Flat No.2 & 3"," Vasavi Col"";""520008"";""01"";""Andhra Pradesh"";""AAACI6561R"";""0866- 2414698"";""ashutosh_verma@ifbglobal.com"";""X"";""1105"";""L51109WB1974PLC029637"";""Vijaywada Service Branch""",,
"4546;""IFB Industries Ltd","Vijayawada"";""37AAACI6561R1ZW"";""Near Anjaneya Restuarant Flat No.2 & 3"," Vasavi Col"";""520008"";""01"";""Andhra Pradesh"";""AAACI6561R"";""0866- 2414698"";""ashutosh_verma@ifbglobal.com"";""X"";""1105"";""L51109WB1974PLC029637"";""Tirupati Service Branch""",,
"4550;""IFB Industries Ltd","Vijayawada"";""37AAACI6561R1ZW"";""Near Anjaneya Restuarant Flat No.2 & 3"," Vasavi Col"";""520008"";""01"";""Andhra Pradesh"";""AAACI6561R"";""0866- 2414698"";""ashutosh_verma@ifbglobal.com"";""X"";""1105"";""L51109WB1974PLC029637"";""Vishakapatnam Service Branch""",,
"4555;""IFB Industries Ltd","Vijayawada"";""37AAACI6561R1ZW"";""Near Anjaneya Restuarant Flat No.2 & 3"," Vasavi Col"";""520008"";""01"";""Andhra Pradesh"";""AAACI6561R"";""0866- 2414698"";""ashutosh_verma@ifbglobal.com"";""X"";""1105"";""L51109WB1974PLC029637"";""Tirupati Service Branch""",,
"4556;""IFB Industries Ltd","Telangana"";""36AAACI6561R1ZY"";""Tarbund X Roads Sathya Mansion", 1st Floor," 32&33 C"";""500009"";""37"";""Telangana"";""AAACI6561R"";"""";"""";""X"";""1111"";""L51109WB1974PLC029637"";""KarimNagarServiceBranch(Blockd""",
"4557;""IFB Industries Ltd","Telangana"";""36AAACI6561R1ZY"";""Tarbund X Roads Sathya Mansion", 1st Floor," 32&33 C"";""500009"";""37"";""Telangana"";""AAACI6561R"";"""";"""";""X"";""1111"";""L51109WB1974PLC029637"";""Warangal Service Branch""",
"4560;""IFB Industries Ltd","Kerala"";""32AAACI6561R1Z6"";""Block 3"," Central Ware Housing Corporatio Gandhina"";""682020"";""11"";""Kerala"";""AAACI6561R"";""0484-3918860"";""cochin_accounts@ifbglobal.com"";""X"";""1107"";""L51109WB1974PLC029637"";""Cochin Service Branch""",,
"4565;""IFB Industries Ltd","Kerala"";""32AAACI6561R1Z6"";""Block 3"," Central Ware Housing Corporatio Gandhina"";""682020"";""11"";""Kerala"";""AAACI6561R"";""0484-3918860"";""cochin_accounts@ifbglobal.com"";""X"";""1107"";""L51109WB1974PLC029637"";""Calicut Service Branch""",,
"4570;""IFB Industries Ltd","Kerala"";""32AAACI6561R1Z6"";""Block 3"," Central Ware Housing Corporatio Gandhina"";""682020"";""11"";""Kerala"";""AAACI6561R"";""0484-3918860"";""cochin_accounts@ifbglobal.com"";""X"";""1107"";""L51109WB1974PLC029637"";""Trivandrum Service Branch""",,
"4585;""IFB Industries Ltd","Kerala"";""32AAACI6561R1Z6"";""Block 3"," Central Ware Housing Corporatio Gandhina"";""682020"";""11"";""Kerala"";""AAACI6561R"";""0484-3918860"";""cochin_accounts@ifbglobal.com"";""X"";""1107"";""L51109WB1974PLC029637"";""Cochin Service Branch""",,
"5500;""IFB Industries Ltd","Gujarat"";""24AAACI6561R1Z3"";""Sarkhej Bawla Highway", Behind Navkar Petrol Pump,";382213"";""06"";""Gujarat"";""AAACI6561R"";""079-32919471"";""ahmedabad_sales@ifbglobal.com"";""X"";""1205"";""L51109WB1974PLC029637"";""Ahmedabad Service Branch""",
"5501;""IFB Industries Ltd","Gujarat"";""24AAACI6561R1Z3"";""Sarkhej Bawla Highway", Behind Navkar Petrol Pump,";382213"";""06"";""Gujarat"";""AAACI6561R"";""079-32919471"";""ahmedabad_sales@ifbglobal.com"";""X"";""1205"";""L51109WB1974PLC029637"";""Surat Service Branch""",
"5502;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Nagpur DSO Service Branch""",,,
"5503;""IFB Industries Ltd","Gujarat"";""24AAACI6561R1Z3"";""Sarkhej Bawla Highway", Behind Navkar Petrol Pump,";382213"";""06"";""Gujarat"";""AAACI6561R"";""079-32919471"";""ahmedabad_sales@ifbglobal.com"";""X"";""1205"";""L51109WB1974PLC029637"";""Junagadh DSO Service Branch""",
"5504;""IFB Industries Ltd","Gujarat"";""24AAACI6561R1Z3"";""Sarkhej Bawla Highway", Behind Navkar Petrol Pump,";382213"";""06"";""Gujarat"";""AAACI6561R"";""079-32919471"";""ahmedabad_sales@ifbglobal.com"";""X"";""1205"";""L51109WB1974PLC029637"";""Bhavnagar DSO Service Branch""",
"5505;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Pune Service Branch""",,,
"5510;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Mumbai Service Branch""",,,
"5512;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Mumbai Service Branch""",,,
"5513;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""IFB INDUSTRIES LTD. Service-Mu""",,,
"5515;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Mumbai Service Branch(C-33)""",,,
"5516;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Mumbai Service Branch-Bhandup""",,,
"5520;""IFB Industries Ltd","Chattisgarh"";""22AAACI6561R1Z7"";""c/o CDPL", Priyadarshini Nagar," Beside Matrapitra"";""492006"";""33"";""Chhattisgarh"";""AAACI6561R"";""0771-3299179"";""accounts_chattisgarh@ifbglobal.com"";""X"";""1203"";""L51109WB1974PLC029637"";""Raipur Service Branch""",
"5524;""IFB Industries Ltd","Chattisgarh"";""22AAACI6561R1Z7"";""c/o CDPL", Priyadarshini Nagar," Beside Matrapitra"";""492006"";""33"";""Chhattisgarh"";""AAACI6561R"";""0771-3299179"";""accounts_chattisgarh@ifbglobal.com"";""X"";""1203"";""L51109WB1974PLC029637"";""Raipur Service Branch""",
"5526;""IFB Industries Ltd","Panjim"";""30AAACI6561R1ZA"";""PLOT NO 36", 37 & 38, Corlim Ind. Area,"Corlim Ilh"";""403722"";""05"";""Goa"";""AAACI6561R"";""0832-2421943"";""goa_service@ifbglobal.com"";""X"";""1207"";""L51109WB1974PLC029637"";""MARGAO SERVICE BRANCH"""
"5530;""IFB Industries Ltd","Panjim"";""30AAACI6561R1ZA"";""PLOT NO 36", 37 & 38, Corlim Ind. Area,"Corlim Ilh"";""403722"";""05"";""Goa"";""AAACI6561R"";""0832-2421943"";""goa_service@ifbglobal.com"";""X"";""1207"";""L51109WB1974PLC029637"";""Goa Service Branch"""
"5531;""IFB Industries Ltd","Panjim"";""30AAACI6561R1ZA"";""PLOT NO 36", 37 & 38, Corlim Ind. Area,"Corlim Ilh"";""403722"";""05"";""Goa"";""AAACI6561R"";""0832-2421943"";""goa_service@ifbglobal.com"";""X"";""1207"";""L51109WB1974PLC029637"";""MARGAO SERVICE BRANCH"""
"5535;""IFB Industries Ltd. Service Branch"";""27AAACI6561R1ZX"";""Indian Corporation"," Dapode Village Gala No 1 To 8"";""421302"";""13"";""Maharashtra"";""AAACI6561R"";""07104 - 220444"";""sudipta_tapaswi@ifbglobal.com"";""X"";""1201"";""L51109WB1974PLC029637"";""Mumbai Service Branch(B-21)""",,,
